t,cpu_avg_pct,gpu_pct,ram_used_mb,vdd_in_mw,vdd_cpu_mw,vdd_gpu_mw,vdd_soc_mw,gpu_temp_c,cpu_temp_c
06-16-2026 00:26:56,7.17,0,3253,5843,1479,0,1520,52.75,50.343
06-16-2026 00:26:57,7.5,0,3253,5967,1561,0,1561,52.937,50.281
06-16-2026 00:26:58,6.5,0,3253,5925,1520,0,1561,52.718,50.312
06-16-2026 00:26:59,8.0,33,3253,5967,1561,0,1561,52.906,50.468
06-16-2026 00:27:00,6.67,0,3254,5925,1520,0,1520,52.906,50.125
06-16-2026 00:27:01,6.67,0,3254,5884,1479,0,1520,52.968,50.375
06-16-2026 00:27:02,7.83,10,3249,6008,1602,0,1561,52.906,50.218
06-16-2026 00:27:03,6.67,63,3249,6008,1602,0,1561,53.062,50.437
06-16-2026 00:27:04,6.83,0,3250,5843,1479,0,1520,52.875,50.375
06-16-2026 00:27:06,7.17,19,3250,6008,1602,0,1561,52.875,50.406
06-16-2026 00:27:07,6.5,0,3251,5925,1520,0,1561,52.812,50.187
06-16-2026 00:27:08,7.5,0,3251,5843,1479,0,1520,52.968,50.625
06-16-2026 00:27:09,6.67,0,3252,5925,1520,0,1561,52.906,50.218
06-16-2026 00:27:10,6.83,0,3253,5884,1520,0,1520,52.75,50.156
06-16-2026 00:27:11,7.5,46,3253,5925,1561,0,1561,53.062,50.468
06-16-2026 00:27:12,7.5,7,3254,5967,1561,0,1561,53.062,50.312
06-16-2026 00:27:13,6.33,0,3254,5843,1479,0,1520,52.781,50.343
06-16-2026 00:27:14,7.67,59,3254,6049,1599,0,1561,53.093,50.375
06-16-2026 00:27:15,6.5,27,3254,5967,1561,0,1561,53.031,50.375
06-16-2026 00:27:16,7.5,0,3254,5843,1479,0,1520,52.937,50.468
